PSAP ID,PSAP Name,State,County,City,Type of Change,Comments
1074,Aurora Fire Department,CO,Arapahoe,Aurora,S,PSAP is either a Duplicate or a Secondary PSAP. Calls are handled by PSAP #1073
1073,Aurora Public Safety Communications,CO,Arapahoe,Aurora,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
1075,Avon Police Department,CO,Eagle,Avon,NC,
1076,Baca County Sheriffs Office,CO,Baca,Springfield,NC,
1077,Back Up Communications Center,CO,El Paso,Colorado Springs,NC,
1078,Basalt Police Department,CO,Pitkin,Basalt,NC,
1079,Bayfield Marshals Office,CO,La Plata,Bayfield,NC,
1080,Bent County Sheriffs Office,CO,Bent,Las Animas,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
1081,Berthoud Police Department,CO,Larimer,Berthoud,NC,
1082,Bia Ute Mountain Ute Police,CO,Montezuma,Towaoc,NC,
1083,Black Hawk Police Department,CO,Gilpin,Black Hawk,NC,
1084,Blanca Town Marshals Office,CO,Costilla,Blanca,NC,
1085,Boulder County Communications Center,CO,Boulder,Boulder,NC,
1086,Boulder Police Communications Center,CO,Boulder,Boulder,NC,
8000,Boulder Regional Emergency Telephone Service Authority,CO,Boulder,Boulder,A,PSAP was added since the original posting of the FCC Registry.
1087,Breckenridge Police Department,CO,Summit,Breckenridge,NC,
1088,Broomfield Police Department,CO,Boulder,Broomfield,NC,
8002,Broomfield Police Department,CO,Jefferson,Broomfield,A,PSAP was added since the original posting of the FCC Registry.
1089,Brush Police Department,CO,Morgan,Brush,NC,
1090,Buena Vista Police Department,CO,Chaffee,Buena Vista,NC,
1091,Burlington Police Department,CO,Kit Carson,Burlington,NC,
1092,Calhan Marshals Office,CO,El Paso,Calhan,NC,
1093,Canon City Police Department,CO,Fremont,Canon City,NC,
1094,Castle Rock Police Department,CO,Douglas,Castle Rock,NC,
1095,Cedaredge Police Department,CO,Delta,Cedaredge,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
1096,Center Communications,CO,Saguache,Center,NC,
1097,Center Police Department,CO,Saguache,Center,NC,
1098,Chaffee County Sheriffs Office,CO,Chaffee,Salida,NC,
1099,Cheyenne County Sheriffs Office,CO,Cheyenne,Cheyenne Wells,NC,
8226,City Of Thornton 911 Emergency Communications Center,CO,Adams,Thornton,A,PSAP was added since the original posting of the FCC Registry.
1100,Clear Creek County Sheriffs Office,CO,Clear Creek,Georgetown,NC,
1101,Colbran Marshals Office,CO,Mesa,Colbran,NC,
1102,Colorado School Of Mines Police Department,CO,Jefferson,Golden,NC,
1103,Colorado Springs Police Department,CO,El Paso,Colorado Springs,NC,
1104,Colorado State Patrol-alamosa,CO,Alamosa,Alamosa,NC,
1105,Colorado State Patrol-craig,CO,Moffat,Craig,NC,
1106,Colorado State Patrol-lamar,CO,Prowers,Lamar,NC,
1108,Colorado State University Police Department,CO,Larimer,Ft Collins,NC,
1109,Conejos County Sheriff,CO,Conejos,Conejos,NC,
1110,Cortez Police Department Dispatch,CO,Montezuma,Cortez,NC,
1111,Costilla County Sheriff Department,CO,Costilla,San Luis,NC,
1112,Craig Police Department,CO,Moffat,Craig,NC,
1113,Crested Butte Marshals Office,CO,Gunnison,Crested Butte,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
1114,Cripple Creek Police Department,CO,Teller,Cripple Creek,NC,
1115,Crowley County Dispatch,CO,Crowley,Ordway,NC,
1116,Cu Health Sciences Center Police Department,CO,Denver,Denver,NC,
1117,Custer County Sheriffs Office,CO,Custer,Westcliffe,NC,
1118,Dacono Police Department,CO,Weld,Dacono,NC,
1119,De Beque Marshals Office,CO,Mesa,De Beque,NC,
1120,Del Norte Police Department,CO,Rio Grande,Del Norte,NC,
1121,Delta County Sheriffs Office,CO,Delta,Delta,NC,
1122,Denver Combined Communications,CO,Denver,Denver,NC,
1123,Department Of Public Safety University Of Colorado-boulder,CO,Boulder,Boulder,NC,
1124,Dillon Police Department,CO,Summit,Dillon,NC,
1125,Dinosaur Police Department,CO,Moffat,Dinosaur,NC,
1126,Dolores County Sheriff Department,CO,Dolores,Dove Creek,NC,
1127,Douglas County Sheriffs Office,CO,Douglas,Castle Rock,NC,
1128,Durango Police Department,CO,La Plata,Durango,NC,
1129,Durango-la Plata Central Communications,CO,La Plata,Durango,NC,
1130,Eads Police Department,CO,Bent,Eads,NC,
1131,Eagle County Sheriffs Office,CO,Eagle,Eagle,NC,
1132,Eagle Police Department,CO,Eagle,Eagle,NC,
1133,Eaton Police Department,CO,Weld,Eaton,NC,
1134,Edgewater Police Department,CO,Jefferson,Edgewater,NC,
1135,El Paso County Sheriffs Office,CO,El Paso,Colorado Springs,NC,
1136,Elbert County Communications,CO,Elbert,Kiowa,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
1137,Elizabeth Police Department,CO,Elbert,Elizabeth,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
1138,Empire Police Department,CO,Clear Creek,Empire,NC,
1139,Englewood Police Department,CO,Arapahoe,Englewood,NC,
1140,Erie Police Department,CO,Boulder,Erie,NC,
1141,Estes Park Police Department,CO,Larimer,Estes Park,NC,
1142,Evans Police Department,CO,Weld,Evans,NC,
1143,Evergreen Fire Protection District,CO,Jefferson,Evergreen,NC,
1144,Fairplay Police Department,CO,Park,Fairplay,NC,
1145,Federal Heights Police Department,CO,Adams,Federal Heights,NC,
1146,Firestone Police Department,CO,Weld,Firestone,NC,
1147,Florence Police Department,CO,Fremont,Florence,NC,
8001,Fort Carson Military Police,CO,El Paso,Fort Carson,A,PSAP was added since the original posting of the FCC Registry.
7985,Fort Collins Police Department,CO,Larimer,Fort Collins,A,PSAP was added since the original posting of the FCC Registry.
1148,Fountain Police Department,CO,El Paso,Fountain,NC,
1149,Fowler Police Department,CO,Otero,Fowler,NC,
1150,Frederick Police Department,CO,Weld,Frederick,NC,
1151,Frisco Police Department,CO,Summit,Frisco,NC,
1152,Fruita Police Department,CO,Mesa,Fruita,NC,
1153,Ft Carson Fire Department,CO,El Paso,Ft Carson,NC,
1154,Ft Lewis College Police Department,CO,La Plata,Durango,NC,
1155,Ft Lupton Police Department,CO,Weld,Ft Lupton,NC,
1156,Ft Morgan Police Department,CO,Morgan,Ft Morgan,NC,
1157,Garfield County Emergency Communications Authority-garco,CO,Garfield,Rifle,NC,
1158,Georgetown Police Department,CO,Clear Creek,Georgetown,NC,
1159,Gilcrest Police Department,CO,Weld,Gilcrest,NC,
1160,Gilpin County Sheriffs Office,CO,Gilpin,Golden,NC,
1161,Glendale Police Department,CO,Arapahoe,Glendale,NC,
1162,Golden Police Department,CO,Jefferson,Golden,NC,
1163,Granada Police Department,CO,Prowers,Granada,NC,
1164,Grand County Sheriffs Office,CO,Grand,Hot Sulphur Springs,NC,
1165,Grand Junction Regional Communications Center,CO,Mesa,Grand Junction,NC,
1166,Greeley Police Department,CO,Weld,Greeley,NC,
1167,Green Mountain Falls Marshals Office,CO,El Paso,Green Mountain Falls,NC,
1168,Greenwood Village Police Department,CO,Arapahoe,Greenwood Village,NC,
1169,Gunnison Communications Center,CO,Gunnison,Gunnison,NC,
1170,Haxtun Police Department,CO,Phillips,Haxtun,NC,
1171,Hayden Police Department,CO,Routt,Hayden,NC,
1172,Hinsdale County Sheriffs Office,CO,Hinsdale,Lake City,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
1173,Holyoke Police Department,CO,Phillips,Holyoke,NC,
1174,Hotchkiss Police Department,CO,Delta,Hotchkiss,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
1175,Huerfano County Sheriffs Office,CO,Huerfano,Walsenburg,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
1283,Huerfano Emergency Dispatch Center,CO,Huerfano,Walsenburg,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
1176,Hugo Marshals Office,CO,Lincoln,Hugo,NC,
1177,Idaho Springs Police Department,CO,Clear Creek,Idaho Springs,NC,
1178,Ignacio Police Department,CO,La Plata,Ignacio,NC,
1179,Jackson County Sheriffs Office,CO,Jackson,Walden,NC,
1180,Jefferson County Sheriffs Office,CO,Jefferson,Golden,NC,
1181,Johnstown Police Department,CO,Weld,Johnstown,NC,
1182,Kersey Police Department,CO,Weld,Kersey,NC,
1183,Kiowa County Sheriffs Office,CO,Kiowa,Eads,NC,
1184,Kit Carson County Dispatch Board,CO,Kit Carson,Burlington,NC,
1185,Kremling Police Department,CO,Grand,Kremling,NC,
1186,La Jara Police Department,CO,Conejos,La Jara,NC,
1187,La Junta Police Department,CO,Otero,La Junta,NC,
1188,La Plata County Sheriffs Office,CO,La Plata,Durango,NC,
1189,La Salle Police Department,CO,Weld,La Salle,NC,
1190,La Veta Police Department,CO,Huerfano,La Veta,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
1191,Lafayette Police Department,CO,Boulder,Lafayette,NC,
1192,Lake County Sheriffs Office,CO,Lake,Leadville,NC,
1193,Lakeside Police Department,CO,Jefferson,Denver,NC,
1194,Lakewood Communications Center,CO,Jefferson,Lakewood,NC,
1195,Lamar Police Department,CO,Prowers,Lamar,NC,
1196,Larimer County Sheriffs Office,CO,Larimer,Ft Collins,NC,
1197,Las Animas County Sheriffs Office,CO,Las Animas,Trinidad,NC,
1198,Las Animas Police Department,CO,Bent,Las Animas,NC,
1199,Leadville Fire Department,CO,Lake,Leadville,NC,
1200,Leadville Police Department,CO,Lake,Leadville,NC,
1201,Limon Police Department,CO,Lincoln,Limon,NC,
1202,Lincoln County Sheriffs Office,CO,Lincoln,Hugo,NC,
1203,Littleton Fire Rescue,CO,Arapahoe,Littleton,NC,
1204,Littleton Police Department,CO,Arapahoe,Littleton,NC,
1205,Loch Buie Police Department,CO,Weld,Loch Buie,NC,
1206,Log Lane Village Police Department,CO,Morgan,Log Lane Village,NC,
1207,Longmont Emergency Communications,CO,Boulder,Longmont,NC,
1208,Louisville Police Department,CO,Boulder,Louisville,NC,
1209,Loveland Police Department,CO,Larimer,Loveland,NC,
1210,Manassa Police Department,CO,Conejos,Manassa,NC,
1211,Manitou Springs Police Department,CO,El Paso,Manitou Springs,NC,
1212,Manzanola Police Department,CO,Otero,Manzanola,NC,
1213,Meeker Police Department,CO,Rio Blanco,Meeker,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
1214,Mesa County Sheriffs Office,CO,Mesa,Grand Junction,NC,
1215,Milliken Police Department,CO,Weld,Milliken,NC,
1216,Mineral County Sheriffs Office,CO,Mineral,Creede,NC,
1217,Minturn Police Department,CO,Eagle,Minturn,NC,
1218,Monte Vista Police Department,CO,Rio Grande,Monte Vista,NC,
1220,Montrose Police Department,CO,Montrose,Montrose,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
1219,Montrose Regional Dispatch Center,CO,Montrose,Montrose,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
1221,Monument Police Department,CO,El Paso,Monument,NC,
1222,Morgan County Communications Center,CO,Morgan,Ft Morgan,NC,
1223,Morrison Police Department,CO,Jefferson,Morrison,NC,
1224,Mountain View Police Department,CO,Jefferson,Mountain View,NC,
1225,Mountain Village Police Department,CO,San Miguel,Mountain Village,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
1226,Mt Crested Butte Police Department,CO,Gunnison,Mt Crested Butte,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
1227,Nederland Marshals Office,CO,Boulder,Nederland,NC,
1228,Norwood Police Department,CO,San Miguel,Norwood,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
1229,Nucla Communications Center,CO,Montrose,Nucla,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
1230,Nucla Marshals Office,CO,Montrose,Nucla,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
1231,Oak Creek Police Department,CO,Routt,Oak Creek,NC,
1232,Olathe Police Department,CO,Montrose,Olathe,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
1233,Otero County Sheriffs Office,CO,Otero,La Junta,NC,
1234,Ouray County Sheriffs Office,CO,Ouray,Ouray,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
1235,Ouray Police Department,CO,Ouray,Ouray,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
1236,Pagosa Springs Police Department,CO,Archuleta,Pagosa Springs,NC,
1237,Palisade Police Department,CO,Mesa,Palisade,NC,
1238,Palmer Lake Police Department,CO,El Paso,Palmer Lake,NC,
1239,Paonia Police Department,CO,Delta,Paonia,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
1240,Park County Communications Center,CO,Park,Fairplay,NC,
1241,Park County Sheriffs Office,CO,Park,Fairplay,NC,
1242,Parker Police Department,CO,Douglas,Parker,NC,
1243,Peterson Air Force Base,CO,El Paso,Peterson Afb,NC,
1244,Phillips County Communication Center,CO,Phillips,Holyoke,NC,
1245,Pikes Peak Community College Police,CO,El Paso,Colorado Springs,NC,
1070,Pitkin County Regional Emergency Dispatch Center,CO,Pitkin,Aspen,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
1246,Platteville Police Department,CO,Weld,Platteville,NC,
1247,Poudre Emergency Communications Center-ft Collins,CO,Larimer,Ft Collins,NC,
1248,Prowers County Combined Communications,CO,Prowers,Lamar,NC,
1249,Prowers County Sheriffs Office,CO,Prowers,Lamar,NC,
1250,Pueblo County Sheriffs Office,CO,Pueblo,Pueblo,NC,
1251,Pueblo Police Department,CO,Pueblo,Pueblo,NC,
1252,Rangely Police Department,CO,Rio Blanco,Rangely,NC,
1253,Red Rocks Community College Police Department,CO,Jefferson,Lakewood,NC,
1254,Ridgway Marshals Office,CO,Ouray,Ridgway,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
1255,Rio Blanco County Sheriffs Office,CO,Rio Blanco,Meeker,NC,
1256,Rio Grande County Sheriffs Office,CO,Rio Grande,Del Norte,NC,
1257,Rocky Ford Police Department,CO,Otero,Rocky Ford,NC,
1258,Routt County Communications Center,CO,Routt,Steamboat Springs,NC,
1259,Saguache County Sheriffs Office,CO,Saguache,Saguache,NC,
1260,Salida Police Department,CO,Chaffee,Salida,NC,
1107,San Juan County Emergency Telephone Service Authority,CO,San Juan,Montrose,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
1261,San Juan County Sheriffs Department,CO,San Juan,Silverton,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
1262,San Miguel County Sheriffs Office,CO,San Miguel,Telluride,NC,
1263,Sanford Marshals Office,CO,Costilla,Sanford,NC,
1264,Sedgwick County Sheriffs Department,CO,Sedgwick,Julesburg,NC,
1265,Sheridan Police Department,CO,Arapahoe,Sheridan,NC,
1266,Silverthorne Police Department,CO,Summit,Silverthorne,NC,
1267,Simla Police Department,CO,Elbert,Simla,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
1268,Snowmass Village Police,CO,Pitkin,Snowmass Village,NC,
1269,South Fork Marshals Office,CO,Rio Grande,South Fork,NC,
1270,Southern Ute Tribal Police Department,CO,La Plata,Ignacio,NC,
1271,Steamboat Springs Police Department,CO,Routt,Steamboat Springs,NC,
7986,Sterling Emergency Communications,CO,Logan,Sterling,A,PSAP was added since the original posting of the FCC Registry.
1272,Sterling Police Department,CO,Logan,Sterling,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
1273,Stratton Marshals Office,CO,Kit Carson,Stratton,NC,
1274,Summit County Communications Center,CO,Summit,Frisco,NC,
1275,Teller County Sheriffs Office,CO,Teller,Divide,NC,
1276,Telluride Marshals Office,CO,San Miguel,Telluride,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
1277,Trinidad Police Department,CO,Las Animas,Trinidad,NC,
1278,University Of Colorado Police-colorado Springs,CO,El Paso,Colorado Springs,NC,
1279,University Of Northern Colorado Police Department,CO,Weld,Greeley,NC,
1280,University Of Southern Colorado Police Department,CO,Pueblo,Pueblo,NC,
1281,Vail Communications Center,CO,Eagle,Vail,NC,
1282,Victor Police Department,CO,Teller,Victor,NC,
1284,Walsh Police Department,CO,Baca,Walsh,NC,
1285,Washington County Sheriffs Office,CO,Washington,Akron,NC,
1286,Washington-yuma Combined Communications,CO,Yuma,Yuma,NC,
1287,Weld County Communications Center,CO,Weld,Greeley,NC,
1288,West Metro-lakewood Fire Department,CO,Jefferson,Lakewood,NC,
8003,Westminister Police Department,CO,Jefferson,Westminister,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
1289,Westminster Police And Fire Department,CO,Jefferson,Westminster,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
1290,Wheat Ridge Police Department,CO,Jefferson,Wheat Ridge,NC,
1291,Wiggins Police Department,CO,Morgan,Wiggins,NC,
1292,Windsor Police Department,CO,Weld,Windsor,NC,
1293,Woodland Park Police Department,CO,Teller,Woodland Park,NC,
1294,Wray Police Department,CO,Yuma,Wray,NC,
1295,Ansonia Police Department,CT,New Haven,Ansonia,NC,
1296,Avon Police Department,CT,Hartford,Avon,NC,
1297,Berlin Police Department,CT,Hartford,Berlin,NC,
1298,Bethany Resident Troopers Office,CT,New Haven,Bethany,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
1299,Bethel Police Department,CT,Fairfield,Bethel,NC,
1300,Bethel Volunteer Fire Department,CT,Fairfield,Bethel,S,PSAP is either a Duplicate or a Secondary PSAP. Calls are handled by PSAP #1299
1301,Bloomfield Police Department,CT,Hartford,Bloomfield,NC,
1302,Branford Fire Department,CT,New Haven,Branford,S,PSAP is either a Duplicate or a Secondary PSAP. Calls are handled by PSAP #1303
1303,Branford Police Department,CT,New Haven,Branford,NC,
1304,Bridgeport Fire Department,CT,Fairfield,Bridgeport,NC,
1305,Bridgeport Police Computer Aided Dispatch,CT,Fairfield,Bridgeport,S,PSAP is either a Duplicate or a Secondary PSAP. Calls are handled by PSAP #1304
1306,Bridgeport Police Department,CT,Fairfield,Bridgeport,S,PSAP is either a Duplicate or a Secondary PSAP. Calls are handled by PSAP #1304
1307,Bristol Police Department,CT,Hartford,Bristol,NC,
1308,Brookfield Police Department,CT,Fairfield,Brookfield,NC,
1309,Burlington Police Department,CT,Hartford,Burlington,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
1310,Canton Police Department,CT,Hartford,Collinsville,NC,
1311,Cheshire Police Department,CT,New Haven,Cheshire,NC,
1312,Clinton Police Department-ecc,CT,Middlesex,Clinton,NC,
1313,Colchester Emergency Communications Center,CT,Middlesex,Colchester,NC,
1314,Connecticut State Police,CT,Middlesex,Middletown,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
1315,Connecticut State Police-a Troop,CT,New Haven,Southbury,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
1316,Connecticut State Police-b Troop,CT,Litchfield,North Canaan,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
1318,Connecticut State Police-c Troop,CT,New London,Uncasville,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
1317,Connecticut State Police-d Troop,CT,Windham,Danielson,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
1319,Connecticut State Police-g Troop,CT,Fairfield,Bridgeport,NC,
1320,Connecticut State Police-h Troop,CT,Hartford,Hartford,NC,
1321,Connecticut State Police-i Troop,CT,New Haven,Bethany,NC,
1322,Connecticut State Police-k Troop,CT,New London,Colchester,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
1323,Connecticut State Police-l Troop,CT,Litchfield,Litchfield,NC,
1324,Connecticut State Police-w Troop,CT,Hartford,Windsor Locks,NC,
1325,Cromwell Fire Department,CT,Middlesex,Cromwell,S,PSAP is either a Duplicate or a Secondary PSAP. Calls are handled by PSAP #1326
1326,Cromwell Police Department,CT,Middlesex,Cromwell,NC,
1327,Danbury Fire Department,CT,Fairfield,Danbury,NC,
1328,Danbury Police Department,CT,Fairfield,Danbury,S,PSAP is either a Duplicate or a Secondary PSAP. Calls are handled by PSAP #1327
1329,Darien Police Department,CT,Fairfield,Darien,NC,
1330,Deep River Ecc,CT,Middlesex,Deep River,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
1331,Derby Police Department,CT,New Haven,Derby,NC,
1332,East Granby Police Department,CT,Hartford,East Granby,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
1333,East Hartford Police Department,CT,Hartford,East Hartford,NC,
1334,East Haven Fire Department,CT,New Haven,East Haven,NC,
1335,East Haven Police Department,CT,New Haven,East Haven,S,PSAP is either a Duplicate or a Secondary PSAP. Calls are handled by PSAP #1334
1336,East Lyme Emergency Communication Center,CT,New London,East Lyme,NC,
1337,East Windsor Police Department,CT,Hartford,East Windsor,NC,
1338,Easton Police Department,CT,Fairfield,Easton,NC,
1339,Enfield Police Department,CT,Hartford,Enfield,NC,
1340,Fairfield Emergency Communications Center,CT,Fairfield,Fairfield,NC,
1341,Farmington Police Department,CT,Hartford,Farmington,NC,
1342,Glastonbury Police Department,CT,Hartford,Glastonbury,NC,
1343,Granby Police Department,CT,Hartford,Granby,NC,
1344,Greenwich Police Department,CT,Fairfield,Greenwich,NC,
8004,Groton City Police Department,CT,New London,Groton,A,PSAP was added since the original posting of the FCC Registry.
1345,Groton Emergency Communications Center,CT,New London,Groton,NC,
1346,Guilford Ecc,CT,New Haven,Guilford,NC,
1347,Hamden Emergency Communication Center,CT,New Haven,Hamden,NC,
1348,Hartford Emergency Communications Center,CT,Hartford,Hartford,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
1349,Ledyard Emergency Communications Center,CT,New London,Ledyard,NC,
1350,Litchfield County Dispatch,CT,Litchfield,Litchfield,NC,
1351,Madison Police Department,CT,New Haven,Madison,NC,
1352,Manchester Police Department,CT,Hartford,Manchester,NC,
1353,Mashantucket Pequot Police Department,CT,New London,Mashantucket,NC,
1354,Meriden Police Department,CT,New Haven,Meriden,NC,
1355,Middlebury Police Department,CT,New Haven,Middlebury,NC,
1356,Middletown Fire Department,CT,Middlesex,Middletown,NC,
1357,Middletown Police Department,CT,Middlesex,Middletown,S,PSAP is either a Duplicate or a Secondary PSAP. Calls are handled by PSAP #1356
1358,Milford Fire Department,CT,New Haven,Milford,NC,
8165,Mohegan Tribal Police Department,CT,New London,Uncasville,A,PSAP was added since the original posting of the FCC Registry.
1359,Monroe Police Department,CT,Fairfield,Monroe,NC,
1360,Montville Emergency Communications Center,CT,New London,Uncasville,NC,
1361,Naugatuck Police Department,CT,New Haven,Naugatuck,NC,
1362,New Britain Emergency Response Center,CT,Hartford,New Britain,NC,
1363,New Canaan Police Department,CT,Fairfield,New Canaan,NC,
1364,New Fairfield Communications Center,CT,Fairfield,New Fairfield,NC,
1365,New Haven Erc,CT,New Haven,New Haven,NC,
1366,New London Police Department,CT,New London,New London,NC,
1367,New Milford Police Department,CT,Litchfield,New Milford,NC,
1368,Newington Police Department,CT,Hartford,Newington,NC,
1369,Newtown Fire And Ems,CT,Fairfield,Newtown,S,PSAP is either a Duplicate or a Secondary PSAP. Calls are handled by PSAP #1370
1370,Newtown Police Department,CT,Fairfield,Newtown,NC,
1371,North Branford Police Department,CT,New Haven,North Branford,NC,
1372,North Haven Police And Fire,CT,New Haven,North Haven,NC,
1373,Northwest Connecticut Public Safety Emergency Communications Cen,CT,New Haven,Prospect,NC,
1374,Norwalk Police Department,CT,Fairfield,Norwalk,NC,
1375,Norwich Police Department,CT,New London,Norwich,NC,
1376,Old Saybrook Police Department,CT,Middlesex,Old Saybrook,NC,
1377,Orange Police Department,CT,New Haven,Orange,NC,
1378,Plainville Police Department,CT,Hartford,Plainville,NC,
1379,Plymouth Police Department,CT,Litchfield,Terryville,NC,
1380,Portland Ecc,CT,Middlesex,Portland,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
1381,Portland Police Department,CT,Middlesex,Portland,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
1382,Preston Resident Trooper,CT,New London,Preston,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
1383,Putnam Police Department,CT,Windham,Putnam,NC,
1384,Quinebaug Valley Emergency Communications Center,CT,Windham,Danielson,NC,
1385,Redding Emergency Communications Center,CT,Fairfield,Redding,NC,
1386,Ridgefield Police Department,CT,Fairfield,Ridgefield,NC,
1387,Rocky Hill Police Department,CT,Hartford,Rocky Hill,NC,
1388,Seymour Police Department,CT,New Haven,Seymour,NC,
1389,Shelton Police Department,CT,Fairfield,Shelton,NC,
1390,Sherman Police Department,CT,Fairfield,Sherman,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
1391,Simsbury Police Department,CT,Hartford,Simsbury,NC,
1392,South Central Connecticut Regional Emergency Communications Cent,CT,New Haven,New Haven,NC,
1393,South Windsor Police Department,CT,Hartford,South Windsor,NC,
1394,Southbury Police Department,CT,New Haven,Southbury,NC,
1395,Southington Police Department,CT,Hartford,Southington,NC,
1396,Stamford Emergency Communication Center,CT,Fairfield,Stamford,NC,
1397,Stonington Police Department,CT,New London,Pawcatuck,NC,
1398,Stratford Emergency Communications Center,CT,Fairfield,Stratford,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
1399,Suffield Police Department,CT,Hartford,Suffield,NC,
1400,Thomaston Police Department,CT,Litchfield,Thomaston,NC,
1401,Tolland County Mutual Aid Emergency Communication Center,CT,Tolland,Tolland,NC,
1402,Tolland Town Law Enforcement,CT,Tolland,Tolland,S,PSAP is either a Duplicate or a Secondary PSAP. Calls are handled by PSAP #1401
1403,Torrington Police Department,CT,Litchfield,Torrington,NC,
1404,Trumbull Police Department,CT,Fairfield,Trumbull,NC,
1405,University Of Connecticut Police Department,CT,Tolland,Storrs,NC,
8344,Us Navy New London Ldc,CT,New London,Groton,A,PSAP was added since the original posting of the FCC Registry.
1406,Valley Shore Emergency Communications Center,CT,Middlesex,Westbrook,NC,
1407,Vernon Police Department,CT,Tolland,Vernon,NC,
1408,Wallingford Fire Department,CT,New Haven,Wallingford,NC,
1409,Waterbury Police Department,CT,New Haven,Waterbury,NC,
1410,Waterford Emergency Communications Center,CT,New London,Waterford,NC,
1411,Watertown Police Department,CT,Litchfield,Watertown,NC,
1412,West Hartford Police Department,CT,Hartford,West Hartford,NC,
1413,West Haven Ers,CT,New Haven,West Haven,NC,
1414,Weston Emergency Communications Center,CT,Fairfield,Weston,NC,
1415,Weston Police Department,CT,Fairfield,Weston,S,PSAP is either a Duplicate or a Secondary PSAP. Calls are handled by PSAP #1414
1416,Westport Fire Department,CT,Fairfield,Westport,S,PSAP is either a Duplicate or a Secondary PSAP. Calls are handled by PSAP #1417
1417,Westport Police Department,CT,Fairfield,Westport,NC,
1418,Wethersfield Police Department,CT,Hartford,Wethersfield,NC,
1419,Willimantic Switchboard Emergency Communication Center,CT,Windham,Willimantic,NC,
1420,Wilton Police Department,CT,Fairfield,Wilton,NC,
1421,Winchester Police Department,CT,Litchfield,Winchester/winsted,NC,
1422,Windsor Locks Police Department,CT,Hartford,Windsor Locks,NC,
1423,Windsor Police Department,CT,Hartford,Windsor,NC,
1424,Winsted Police Department,CT,Litchfield,Winchester,NC,
1425,Wolcott Police Department,CT,New Haven,Wolcott,NC,
